Time,ai-classification
2025-12-20 18:59:00,0.000177
2025-12-20 19:00:00,0.000195
2025-12-20 19:01:00,0.000192
2025-12-20 19:02:00,0.000183
2025-12-20 19:03:00,0.0419
2025-12-20 19:04:00,0.0564
2025-12-20 19:05:00,0.000163
2025-12-20 19:06:00,0.000196
2025-12-20 19:07:00,0.000190
2025-12-20 19:08:00,0.000189
2025-12-20 19:09:00,0.000181
2025-12-20 19:10:00,0.000223
2025-12-20 19:11:00,0.000200
2025-12-20 19:12:00,0.000185
2025-12-20 19:13:00,0.0312
2025-12-20 19:14:00,0.0516
2025-12-20 19:15:00,0.0802
2025-12-20 19:16:00,0.0796
2025-12-20 19:17:00,0.0513
2025-12-20 19:18:00,0.0725
2025-12-20 19:19:00,0.000177
2025-12-20 19:20:00,0.000187
2025-12-20 19:21:00,0.0260
2025-12-20 19:22:00,0.0388
2025-12-20 19:23:00,0.0284
2025-12-20 19:24:00,0.0532
2025-12-20 19:25:00,0.0569
2025-12-20 19:26:00,0.0372
2025-12-20 19:27:00,0.0569
2025-12-20 19:28:00,0.0549
2025-12-20 19:29:00,0.000186
2025-12-20 19:30:00,0.0274
2025-12-20 19:31:00,0.0742
2025-12-20 19:32:00,0.0983
2025-12-20 19:33:00,0.0655
2025-12-20 19:34:00,0.0891
2025-12-20 19:35:00,0.0292
2025-12-20 19:36:00,0.000189
2025-12-20 19:37:00,0.000189
2025-12-20 19:38:00,0.000194
2025-12-20 19:39:00,0.000182
2025-12-20 19:40:00,0.000220
2025-12-20 19:41:00,0.0531
2025-12-20 19:42:00,0.0749
2025-12-20 19:43:00,0.0626
2025-12-20 19:44:00,0.0621
2025-12-20 19:45:00,0.0519
2025-12-20 19:46:00,0.000184
2025-12-20 19:47:00,0.0325
2025-12-20 19:48:00,0.0646
2025-12-20 19:49:00,0.0716
2025-12-20 19:50:00,0.0802
2025-12-20 19:51:00,0.0640
2025-12-20 19:52:00,0.0929
2025-12-20 19:53:00,0.000192
2025-12-20 19:54:00,0.0256
2025-12-20 19:55:00,0.0887
2025-12-20 19:56:00,0.0547
2025-12-20 19:57:00,0.0802
2025-12-20 19:58:00,0.0631
2025-12-20 19:59:00,0.0694
